choice;bank_partner;choice_1;choice_2;choice_3;choice_4;choice_5
;AH TAK SA;JOALTA SAS;97 CAT TI SAVEURS;CHEZ MAMAN/ ETANG SALE;CHEZ TIKA SAS/AMANVILLE JEROME;DELICES ET DOUCEURS DE L' ETANG SALE
BEACH CLUB REUNION;BEACH CLUB REUNION;BEACH CLUB REUNION;NIHON;ENBI;RHUM REUNION;ASSOCIATION JUDO CLUB REUNION
LEADER PRICE ST ANDRE (BENIRDIS);BENIRDIS;LEADER PRICE ST ANDRE (BENIRDIS);CHEZ BERNARDIN;ENBI;GILBERT DISTRIBUTION;LE GRAND BENARD
;BENIRDIS LEADER PRICE;LEADER PRICE BANK;ENBI;FRUIT&VEG LEADER PRICE LA MONTAGNE (INT);FRUIT&VEG LEADER PRICE POSSESSION;METRO 2/LEADER PRICE EXPRESS TERRE SAINTE
SARL BLACK PEARL (OUTSIDE);BLACK PEARL;SARL BLACK PEARL (OUTSIDE);ERPL;BLACK CAR REUNION;LAURET JACKY SARL;LHC
BO.PA.VI SARL;BOPAVI;O PAVILLON DES SAVEURS;PAVE;BO.PA.VI SARL;BOX PARADISE 974;BY-SERVICE/DJAFFAR BOUCAIR
;CAP AUSTRAL SARL;LM CAP AUSTRAL SUPER U ST ANDRE;ACS SARL;BVA SARL;CAP AZUR;CAP EST
CAP MECHANT DRIVE ST JOSEPH;CAP MECHANT DRIVE;CAP MECHANT DRIVE ST JOSEPH;GROUPE CAP MECHANT;LA BRASSERIE BY LE CAP MECHANT (NORD);LE CAP MECHANT D ABORD ST PIERRE;LE CAP MECHANT SAINT PHILIPPE
HYPER U LA CHATOIRE (CCT);CENTRE COMMERCIAL T;COMMERCIAL;CIPA;NTSR;CESARDECO;ESTREA
;CILAOS SARL;CILAOS;ACS SARL;DON CAMILLO SARL;HELADO SARL;BVA SARL
EST BENTO YA;CK - CO RJ EST BENTO YA / KO /RAMEN YA;EST BENTO YA;LE BENTO;B & CO;BNB;COTRAM
;COSTCO FRANCE;ACSE;IFOOD FRANCE;NESTLE FRANCE;CORAL'ICE;FRANSA
COTRAM;COTRAM;COTRAM;COTRANS AUTOMOBILES SAS;SOTRAM;SORAM;ASP AGENCE COMPTABLE
CROUSTI'PAIN SARL TAMPON / 127 BOULANGERIE;CROUSTI'PAIN;CROUSTI'PAIN SARL TAMPON / 127 BOULANGERIE;CIPA;LES CROUSTILLANTS MAISON;CHEZ CROUSTI;TI CROUSTI
;DIOT-SIACI OUTRE MER CIES;FTP OUTRE MER;OUTREMER INTERIM;SILAJIO;ACM OI;GEM
;DISCASH;DISCASH CPT D ATTENTE IMPUTATION;CABINET MEDICAL SOS SUD;ELIDIF SAS;AUX 400 GOURMANDISES;CODISMA
SAS DISTRI CITRONNELLE;DISTRI CITRONNELLE SAS;SAS DISTRI CITRONNELLE;SAS DISTRI CITRONNELLE 868;TI KAZ CITRO'NEL;DMC GRILLADES TRADITIONNELLES;EURL LE S
SAS DISTRI POSSESSION;DISTRI POSSESSION SAS;SAS DISTRI POSSESSION;ANSA;SPOI SAS;LEADER PRICE POSSESSION SECP (INT);FRUIT&VEG LEADER PRICE POSSESSION
SAS DISTRI SAVANNAH;DISTRI SAVANNAH SAS;SAS DISTRI SAVANNAH;RISMA;ANSA;LORAA SAS;NY HAVANA
AH YON DISTRIBUTION;DISTRIBUTION AH YON SARL;M DISTRIBUTION;TI'COQ DISTRIBUTION SARL;TERRE ROUGE DISTRIBUTION / TRD SARL;VP DISTRIBUTION OI SAS;ANSA
DRFIP REUNION;DRFIP REUNION;DRFIP REUNION;NIHON;LE TAMARIN REUNION;ASSOCIATION BERTEL SOLIDAIRE REUNION/ABSR;CORE TRADING REUNION
SAMOUSSAS VAYA;E.U.R.L. SAMOUSSAS VAYA;SAMOUSSAS VAYA;SAMOUSSAS LE LA;MOUSSEAU;BELYA SAMOUSSAS;SAMOUSSAS TAILOU
;ECOMARCHE;AU BON MARCHE DE JEM;LE MARCHE DE L'OURSON;LE MARCHE DU PLANTEUR;SAS SUPERMARCHE LAW WAI (BDN)/U EXPRESS;SUPERMARCHE DES AVIRONS (SOCOA)
SAS ESCALE SERVICE;ESCALE SERVICE SAS;SAS ESCALE SERVICE;GEST SERVICES;STOCK SERVICE;SERR;EXPRESSO CAFFE SERVICE OCEAN INDIEN
FAST AND FUR'FOOD/FFF;FAST AND FUR'FOOD;FAST AND FUR'FOOD/FFF;TABLE ZEN (FAST AND GOOD - SUD);EDF;FCO;FRANSA
FB SAINT PIERRE;FB SAINT PIERRE;FB SAINT PIERRE;WF SAINT PIERRE;ASSOCIATION SAINT PIERRE HAND BALL CLUB;ASSOCIATION VOLLEY BALL DE SAINT PIERRE;CASH OI - SAINT PIERRE
FB STE MARIE;FB STE MARIE;FB STE MARIE;C'CANNELLE STE MARIE;GESPRO MAG STE MARIE;SAS MAKE DISTRIBUTION 220 - RUN MARKET STE MARIE -;U EXPRESS STE MARIE
FRESH MEX 974;FRESH MEX 974;FRESH MEX 974;FRESH MEX 974/ FBLP;FRESH MEX 974/ WFLP;LE 97;RIMEX974
FRUIT ET VEG REUNION;FRUITS ET VEG REUNION;FRUIT ET VEG REUNION;NIHON;RUBIS;ENDIVES REUNION;GFA-REUNION
GESPRO MAG CHAUDRON;GESPRO MAG LE CHAUDRON;GESPRO MAG CHAUDRON;GESPRO MAG STE MARIE;GESPRO MAG ST ANDRE;SUPER M;LE CHAM' O
GESPRO MAG ST ANDRE;GESPRO MAG SAINT-ANDRE;PROMOCASH SAINT ANDRE;GESPRO MAG SAVANNAH;GESPRO MAG ST ANDRE;MASCARIN;SUPER M
GESPRO MAG STE MARIE;GESPRO MAG SAINTE-MARIE;GESPRO MAG STE MARIE;GESPRO MAG ST ANDRE;MASCARIN;GESPRO MAG SAVANNAH;KIMARIE
GESPRO MAG SAVANNAH;GESPRO MAG SAVANNAH;GESPRO MAG SAVANNAH;GESPRO MAG ST ANDRE;SUPER M;GESPRO MAG CHAUDRON;GESPRO MAG STE MARIE
GIE DISTRI MASCA. (CENTRAL);GIE DISTRI MASCAREIGNES;MASCARIN;LE MASCARIN;RISMA;SICRE;GIE DISTRI MASCA. (CENTRAL)
GINKGO;GINKGO;GINKGO;APPELER RESPONSABLE LA GRIGNOTTE;APPELER RESPONSABLE TSENG KING JACQUES;ASSOCIATION KOULER SOURDS 974;AU PAIN GOURMAND/LAW POON PHILIPPE
HAN SARL U EXPRESS;HAN;ALEXANDRE YOHANNA;ANDRIANANTOANDRO HANITRINIAINA;ARMONY STEPHANE;ASSOCIATION ECHANGE SOLIDAIRE FOULPOINTE ENTRE DEUX;ASSOCIATION HANG ART 410
CARREFOUR HYPER SOREDECO;HYPER-SOREDECO;CARREFOUR HYPER SOREDECO;ADECCO;BEDUCO;CESARDECO;DPR
CARREFOUR STE SUZANNE (HYPERBAM);HYPERBAM;CARREFOUR STE SUZANNE (HYPERBAM);DPR;BIG BAZAR/SUPER BAZAR SUD;BOUTEILLES A LA MER/BAM;CARREFOUR HYPER CRACK
CARREFOUR HYPER CRACK;HYPERCK;CARREFOUR HYPER CRACK;CARREFOUR HYPER SOREDECO;CARREFOUR STE SUZANNE (HYPERBAM);HYPER U LA CHATOIRE (CCT);LE MANGE TOUT-THE ROCK FISH
FILET GOURMAND;INDIV LAMBATTE FILET GOURMAND;FILET GOURMAND;MAMBA;LE PETIT GOURMAND;ESCALE GOURMANDE;LE GOUTAVAN
LA KABAN'A WOK/DEMONGE TONY;KABAN A WOK;LA KABAN'A WOK/DEMONGE TONY;ANSA;LA KABANE A FRITURE CHEZ SAB;ABN 3 D;BA DAO
KESAR;KESAR;KESAR;KESAR 2;ATELIER DE NORMANDIE SARL;CESARDECO;CHANE CHO PINE SARL
KESAR 2;KESAR 2;KESAR;KESAR 2;FUN BIKE SARL;LONG BOARD CAFE/SARL CDR;OMARJEE SARA BIBI/HAFEJI
SAS LA RESERVE DISTRIBUTION;LA RESERVE DISTRIBUTION;SAS LA RESERVE DISTRIBUTION;M DISTRIBUTION;REMA DISTRIBUTION;FRESH DISTRIBUTION;MAKE DISTRIBUTION
LABOURDONNAIS;LABOURDONNAIS;FRUITS ET LEGUMES DE LABOURDONNAIS;LABOURDONNAIS;SOCIETE BOURBONNAISE D'EMBALLAGES SARL;RESTO SELF LA FOURNAISE;CANABIE AND CO/CREPERIE LA BONNE MAISON
L' HORIZON/LAMBATTE;LAMBATTE;L' HORIZON/LAMBATTE;MAMBA;SUCRE SALE/SADON RAMPATTEEA;LA BAZ;LMF
LE BEFORE;LE BEFORE;LE BEFORE;LE BENTO;SAS LE BENTO;"AMERICAN BURGER ""LE BUNKER""";APPELER RESPONSABLE LE RELAIS DE L ERMITAGE
;LEADER PRICE ST BENOIT;LEADER PRICE ST BENOIT PICHAN (INT);LEADER PRICE BANK;LEADER PRICE SAINT LEU (CLA);LEADER PRICE SCI BEL AIR (INT);LEADER PRICE ST ANDRE (BENIRDIS)
SAS LES CASERNES DISTRIBUTION;LES CASERNES DISTRIBUTION;SAS LES CASERNES DISTRIBUTION;M DISTRIBUTION;FRESH DISTRIBUTION;J&S DISTRIBUTION;REMA DISTRIBUTION
LES PERSILLADES;LES PERSILLADES;LES PERSILLADES;BOL VERT/LES GRILLADES D'ARNAUD;O COIN DES GRILLADES;LE COIN DES GRILLADES;AYDS
LES QUATRE G SARL / 4G LYCEE;LES QUATRE G;LES QUATRE G SARL / 4G LYCEE;POINT CHAUD LE QUARTIER;EARL FERME EQUESTRE DU SUD SAUVAGE;FIARDA JULES ANDRE;LE QUAI GILBERT TRAITEUR
;LM FRAICHEUR;LM FRAICHEUR CARREFOUR CHATEL;LM FRAICHEUR CARREFOUR MARKET LE PORT;LM FRAICHEUR CARREFOUR MARKET PLATEAU GOYAVES;LM FRAICHEUR CARREFOUR MOUFIA;LM FRAICHEUR CARREFOUR ROQUEFEUIL
;LM G MAG;LMG MAG LEADER PRICE BANK;LMG MAG LEADER PRICE BEL AIR (INT);LMG MAG LEADER PRICE BELLEPIERRE;LMG MAG LEADER PRICE HERMITAGE (INT) SECH;LMG MAG LEADER PRICE MARECHAL LECLERC (INT)
LYCEE AMBROISE VOLLARD;LYCEE AMBROISE VOLLARD;LYCEE AMBROISE VOLLARD;AMIR;CHEZ BABO;LHC;RISOFE
LYCEE PROFESSIONNEL FRANCOIS DE MAHY/CAFETARIA;LYCEE FRANCOIS DE MAHY;LYCEE PROFESSIONNEL FRANCOIS DE MAHY/CAFETARIA;ELMA;SODEXMA;ACM OI;FCO
;LYCEE MARGUERITE JAUZELON;ELMA;LES MANGUIERS;GEM;LE BAG;LHC
MADZOUBIA KEVIN;M. MADZOUBIA KEVIN;MADZOUBIA KEVIN;FBI;MADCOM;AKINA;BILAL KEBAB
